Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Megaesophagus,Dog,Not Known,Passive regurgitation of food; lack of coordination in moving food to stomach; aspiration pneumonia,"Great Danes, Irish setters, Newfoundlands, German Shepherds, Shar Pei, Labrador retrievers, Collies, Shetland sheepDogs","Congenital nerve development issues; acquired conditions like myasthenia gravis, stricture, Addison's disease, esophageal obstruction, dysautonomia, dermatomyositis","Radiographs (x-rays), Contrast studies with barium",Congenital: incomplete nerve development; Acquired: various underlying conditions affecting esophageal function,Experiment with food consistency; elevated feeding; feeding tube for severe cases,"Sildenafil, Metoclopramide, Cisapride, Bethanechol",Not common,Not Known,Not Known,Depends on underlying cause and severity of megaesophagus; congenital cases may improve with age; acquired cases may have a variable response to treatment; management requires dedication and commitment; pneumonia management is crucial for prognosis; prognosis may still be poor despite treatment efforts,
Megaesophagus,Dog,Not Known,"Regurgitation, difficulty swallowing, weight loss, coughing, pneumonia","Great Danes, Irish Setters, Newfoundlands, German Shepherds, Shar Pei, Labrador Retrievers","Congenital defects, acquired conditions such as myasthenia gravis or hypoadrenocorticism","Radiography, esophagoscopy, contrast studies","Congenital defects, nerve diseases, myasthenia gravis, esophageal obstruction","Dietary management, feeding in an elevated position, feeding tubes, medications to improve muscle tone and reduce regurgitation","Sildenafil to open the lower esophageal sphincter, metoclopramide or cisapride to close the sphincter, sucralfate for gastroprotection",Not commonly indicated,"Variable, depending on the severity and response to treatment",Not Known,Guarded to fair,
Meibomian Gland (Eyelid) Tumors,Dog,"Sebaceous adenocarcinomas,","Benign: slow-growing masses, discomfort, irritation, cosmetic issues; Malignant: similar appearance to benign tumors, possible pigmentation, swelling",Not specific,Advanced age,Physical examination,"Benign: Unknown; Malignant: Sebaceous adenocarcinomas, other malignant tumors","Observation, surgery if necessary",Lubricating eyedrops,"Traditional surgery, laser surgery, cryosurgery",Not Known,Regular eye checks,"Benign: Good if left untreated; Malignant: depends on type and spread; Recurrence possible, but relatively low (10%) if it occurs",
Migration through Airways,Dogs and Cats,Respiratory infections,"Coughing, respiratory distress, irritation in airways.",Not Known,"Outdoor exposure, proximity to burrows",Respiratory examination,Infestation by Cuterebra larvae,"Removal of larvae by veterinarian, respiratory medications.",Respiratory medications,"Removal of larvae by veterinarian, respiratory medications",Not Known,"Avoiding areas with burrows, prompt removal of eggs/larvae","Generally good if larvae are promptly removed, complications rare.",
Mitral Valve Disease,Dog,Not Known,"Murmur, coughing, fainting, exercise intolerance","Cavalier King Charles Spaniel, small breed Dogs, geriatric Dogs","Age, genetic predisposition","Chest X-rays, echocardiogram","Degeneration of mitral valves, chordae tendinae rupture","Activity restriction, sodium-restricted diet, medication","ACE-inhibitors, pimobendan, spironolactone, anti-arrhythmics, diuretics, ACE-inhibitors, pimobendan, spironolactone, anti-arrhythmics",Mitral valve replacement or repair,Not Known,"Avoid high-salt treats, regular monitoring","Guarded to poor, with CHF Dogs dying within 9-10 months",
MRSA,Dogs and Cats,Not Known,"Skin infections, pneumonia, sepsis, surgical site infections",Not Known,"Crowded areas, skin-to-skin contact, sharing equipment, open wounds","Laboratory culture, PCR testing, bacterial sensitivity testing","Adaptation to antibiotics, resistant to many drugs","Good hygiene, regular bathing, covering wounds, proper antibiotic usage",Not Known,Not Known,Not Known,"Frequent hand washing, regular bathing, washing bedding and towels, covering wounds, finishing antibiotics",Not Known,
MRSA,Dogs and Cats,Not Known,"Skin infections, post-operative incisional infections, wound infections",Not Known,"Hospitalization, previous surgery, antibiotic use",Bacterial culture,"Opportunistic pathogen, antibiotic resistance","Good hygiene, local treatment of infections, antibiotic therapy","Testing antibiotic resistance, choosing appropriate antibiotics",Not Known,Not Known,"Proper antibiotic usage, hand hygiene",Depends on infection type,
MRSP,Dogs and Cats,Not Known,"Skin infections, open wounds, surgical site infections",Not Known,Veterinary hospital setting,"Laboratory culture, PCR testing, bacterial sensitivity testing","Adaptation to immune system, resistant to many drugs","Good hygiene, regular bathing, covering wounds, proper antibiotic usage",Not Known,Not Known,Not Known,"Frequent hand washing, regular bathing, washing bedding and towels, covering wounds, finishing antibiotics",Not Known,
MRSP,Dogs and Cats,Not Known,"Skin infections, open wounds, surgical site infections",Not Known,Veterinary hospital setting,"Laboratory culture, PCR testing, bacterial sensitivity testing","Adaptation to immune system, resistant to many drugs","Good hygiene, regular bathing, covering wounds, proper antibiotic usage",Not Known,Not Known,Not Known,"Frequent hand washing, regular bathing, washing bedding and towels, covering wounds, finishing antibiotics",Not Known,
Mucometra,Dogs and Cats,"Hydrometra, Pyometra","Usually asymptomatic, may have decreased fertility",Not Known,Not Known,"Radiography (X-rays), ultrasound",Buildup of fluid in the uterus with mucous due to cystic endometrial hyperplasia or progesterone-induced thickening of the uterine lining,Spaying is the only permanent solution,"Dinoprost (Lutalyse) to induce labor and eject excess fluid, vaginal infusion of warm saline",Surgical spaying,Not Known,Spaying,Depends on the severity and response to treatment.,
Multiple Myeloma,Dogs and Cats,Not Known,"Acting tired or weak, vomiting, loose stools, anorexia, polyuria (excessive urination), polydipsia (excessive thirst), trouble walking, signs of bleeding (e.g. nosebleeds, bleeding gums, bruising)",Not Known,"Genetics, viral infections, carcinogens, chronic illness","CBC, serum biochemistry, urine testing, serum protein electrophoresis, X-rays, ultrasound, bone marrow aspiration or biopsy",Uncontrolled multiplication of plasma cells in the bone marrow,"Supportive care, chemotherapy, radiation therapy, bisphosphonates","Chemotherapy, radiation therapy, bisphosphonates",Not Known,Not Known,Not Known,"Rare cure, supportive treatments available",
Mushroom Poisoning,Dogs and Cats,Not Known,"Vomiting, diarrhea, weakness, yellow skin, abdominal pain, seizures, hallucinations, agitation, incoordination, disorientation, tremors, excessive salivation, muscle spasms, coma, increased thirst and urination, nausea, dehydration, bloody diarrhea, confusion, drowsiness, dilated pupils, increased body temperature, increased grooming",Not Known,"Ingestion of toxic mushrooms, exposure to recreational drugs containing toxins, lack of supervision while outdoors","Clinical signs, mushroom identification (if possible), history taking","Consumption of toxic mushrooms, recreational drugs containing toxins","Induction of vomiting (if appropriate), administration of activated charcoal, supportive care, intravenous fluids, oxygen therapy, specific medications based on toxin identification",Not Known,Not Known,"Regularly check outdoor areas for mushrooms, keep pets on leash when outdoors, keep toxic mushrooms and recreational drugs out of reach of pets","Prognosis varies widely depending on the type of mushroom ingested, amount consumed, pet's health, and promptness of treatment; many cases are treatable with appropriate care, while others can be fatal.",Not Known,
Ophthalmomyiasis externa,Dogs and Cats,"Conjunctivitis, Eye infections","Irritation, discharge from the eyes, conjunctivitis, swelling around the eyes.",Not Known,"Outdoor exposure, proximity to burrows",Ocular examination,Infestation by Cuterebra larvae,"Removal of larvae by veterinarian, ocular medications.",Ocular medications,Removal of larvae by veterinarian,Not Known,"Avoiding areas with burrows, prompt removal of eggs/larvae","Generally good if larvae are promptly removed, complications rare.",
Ophthalmomyiasis interna,Dogs and Cats,Eye infections,"Eye pain, irritation, vision disturbances.",Not Known,"Outdoor exposure, proximity to burrows",Ocular examination,Infestation by Cuterebra larvae,"Removal of larvae by veterinarian, ocular medications.",Ocular medications,Removal of larvae by veterinarian,Not Known,"Avoiding areas with burrows, prompt removal of eggs/larvae","Generally good if larvae are promptly removed, complications rare.",
Protein Losing Nephropathy,Dogs,Kidney disorders,"Protein loss in urine, fluid retention, swelling.",Not Known,"Outdoor exposure, proximity to burrows",Urine tests,Infestation by Cuterebra larvae,"Removal of larvae by veterinarian, supportive care for kidney function.",Supportive care,"Removal of larvae by veterinarian, supportive care for kidney function",Not Known,"Avoiding areas with burrows, prompt removal of eggs/larvae",Prognosis depends on severity of kidney dysfunction and prompt treatment.,
Pyometra,Dogs and Cats,"Hydrometra, Mucometra","Vaginal discharge, bloated belly, poor appetite, vomiting, excessive thirst, lethargy, abdominal pain",Not Known,Not Known,Blood tests for infection and underlying organ problems,"Infection introduced by uterine disease where bacteria crawl into the uterus, causing pus buildup and life-threatening complications",Spaying is the only permanent solution,"Dinoprost (Lutalyse) to induce labor and eject excess fluid, antibiotics, surgical spaying immediately after stabilization",Single surgery to remove the uterus,Not Known,"Spaying, preventive spays","Good with prompt surgical intervention, otherwise fatal if untreated.",
Salmonella,Dogs and Cats,None,"Diarrhea, sepsis, fever, cramping, attachment to intestine, toxin secretion",Not Known,"Feeding raw food diet to pets, contaminated environment, exposure to infected animals, shedding Salmonella in stool","Microscopic examination, fecal culture","Consumption of contaminated food, water, or raw milk, shedding Salmonella in stool","Supportive care, antibiotics for severe cases",Not Known,Not Known,Not Known,"Discuss prevention with veterinarian, screening therapy pets for Salmonella before exposure",Not Known,
Sarcoptic Mange (Scabies),Dog,Notoedric Mange (in cats),"Red, scaly, itchy skin; ear margin crusts; intense itching, especially in warm areas; hair loss; secondary bacterial infections",All breeds susceptible,Not Known,"Skin scraping, medication trial, biopsy",Sarcoptes scabiei mite infestation,"Control secondary bacterial infections, anti-itch medications","Isoxazolines (Nexgard®, Simparica®, Bravecto®, Credelio®), Selamectin (Selarid® or Revolution®), Moxidectin (Advantage Multi), Milbemycin Oxime (Interceptor®, Sentinel®, Trifexis®), Ivermectin, Dipping (Amitraz, lime-sulfur)",Not Applicable,Not Applicable,"Machine washing bedding, regular use of flea products",Excellent with appropriate treatment,
